field	field_raw	n_studies	n_samples	n_nonempty_values	n_unique_values	example_values
channel_count	channel_count	22	654	654	2	1; 2
contact_address	contact_address	22	654	654	18	Otto-Stern-Weg 7; Freiestrasse 3; De Boelelaan 1117; 150 COURS ALBERT THOMAS; 651 Dongfeng Road East, Yuexiu District, Guangzhou, P.R. China; [+13 additional value(s)]
contact_city	contact_city	22	654	654	16	Zürich; Bern; Amsterdam; LYON; Guangzhou; [+11 additional value(s)]
contact_country	contact_country	22	654	654	9	Switzerland; Netherlands; France; China; USA; [+4 additional value(s)]
contact_institute	contact_institute	22	654	654	16	ETH Zürich; University of Bern; Vrije Universiteit Medical Center; IARC WHO; Sun Yat-sen University Cancer Center; [+11 additional value(s)]
contact_name	contact_name	22	654	654	18	Markus,S,Schröder; Oliver,,Mühlemann; Daoud,,Sie; Jiri,,ZAVADIL; zixuan,,chen; [+13 additional value(s)]
contact_zip_postal_code	contact_zip.postal_code	22	654	654	15	8093; 3012; 1081 HV; 69008; 510060; [+10 additional value(s)]
geo_accession	geo_accession	22	654	654	654	GSM7317567; GSM7317568; GSM7317569; GSM7317570; GSM7317571; [+649 additional value(s)]
gse_title	GSE_Title	22	654	654	21	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells; NMD inhibition fails to identify tumour suppressor genes in microsatellite stable gastric cancer cell lines; Inhibition of nonsense-mediated RNA decay by the tumor microenvironment promotes tumorigenesis; Reduced expression of UPF1 promotes tumor progression through stabilizing COX-2 mRNA in nasopharyngeal carcinoma; Identifying mutant genes in the LNCaP and 22Rv1 prostate cancer cell lines; [+16 additional value(s)]
last_update_date	last_update_date	22	654	654	19	Sep 04 2023; Sep 06 2023; Sep 29 2008; Jul 08 2011; Nov 24 2025; [+14 additional value(s)]
molecule_ch1	molecule_ch1	22	654	654	3	total RNA; genomic DNA; polyA RNA
organism_ch1	organism_ch1	22	654	654	1	Homo sapiens
platform_id	platform_id	22	654	654	13	GPL24676; GPL21290; GPL5477; GPL4133; GPL570; [+8 additional value(s)]
status	status	22	654	654	21	Public on Sep 04 2023; Public on Sep 06 2023; Public on Sep 19 2009; Public on Jul 08 2011; Public on Oct 31 2025; [+16 additional value(s)]
