GSE_ID	Sample_ID	evidence_type	field_raw	value
GSE109143	GSM2933033	explicit_nmd_term	GSE_Title	hnRNP L protects mRNAs from nonsense-mediated mRNA decay
GSE109143	GSM2933033	perturbation_mechanism	extract_protocol_ch12	One μg of total RNA was used per sample for library preparation. Ribosomal RNA was depleted from total RNA with the Ribo-Zero rRNA Removal Kit (Epicentre), and purified RNA was then converted to cDNA with the TruSeq RNA Library Preparation Kit (Illumina).
GSE109143	GSM2933033	perturbation_mechanism	treatment_protocol_ch1	Transient depletion for 72 hours by reverse transfection.
GSE109143	GSM2933033	perturbation_mechanism	sirna	treated with non-specific (NS) siRNA
GSE109143	GSM2933033	tissue_field	source_name_ch1	HEK-293TO cells
GSE109143	GSM2933033	tissue_field	cell.line	HEK-293
GSE109143	GSM2933034	explicit_nmd_term	GSE_Title	hnRNP L protects mRNAs from nonsense-mediated mRNA decay
GSE109143	GSM2933034	perturbation_mechanism	extract_protocol_ch12	One μg of total RNA was used per sample for library preparation. Ribosomal RNA was depleted from total RNA with the Ribo-Zero rRNA Removal Kit (Epicentre), and purified RNA was then converted to cDNA with the TruSeq RNA Library Preparation Kit (Illumina).
GSE109143	GSM2933034	perturbation_mechanism	treatment_protocol_ch1	Transient depletion for 72 hours by reverse transfection.
GSE109143	GSM2933034	perturbation_mechanism	sirna	treated with non-specific (NS) siRNA
GSE109143	GSM2933034	tissue_field	source_name_ch1	HEK-293TO cells
GSE109143	GSM2933034	tissue_field	cell.line	HEK-293
GSE109143	GSM2933035	explicit_nmd_term	GSE_Title	hnRNP L protects mRNAs from nonsense-mediated mRNA decay
GSE109143	GSM2933035	perturbation_mechanism	extract_protocol_ch12	One μg of total RNA was used per sample for library preparation. Ribosomal RNA was depleted from total RNA with the Ribo-Zero rRNA Removal Kit (Epicentre), and purified RNA was then converted to cDNA with the TruSeq RNA Library Preparation Kit (Illumina).
GSE109143	GSM2933035	perturbation_mechanism	treatment_protocol_ch1	Transient depletion for 72 hours by reverse transfection.
GSE109143	GSM2933035	perturbation_mechanism	sirna	treated with non-specific (NS) siRNA
GSE109143	GSM2933035	tissue_field	source_name_ch1	HEK-293TO cells
GSE109143	GSM2933035	tissue_field	cell.line	HEK-293
GSE109143	GSM2933036	explicit_nmd_term	GSE_Title	hnRNP L protects mRNAs from nonsense-mediated mRNA decay
GSE109143	GSM2933036	perturbation_mechanism	extract_protocol_ch12	One μg of total RNA was used per sample for library preparation. Ribosomal RNA was depleted from total RNA with the Ribo-Zero rRNA Removal Kit (Epicentre), and purified RNA was then converted to cDNA with the TruSeq RNA Library Preparation Kit (Illumina).
GSE109143	GSM2933036	perturbation_mechanism	treatment_protocol_ch1	Transient depletion for 72 hours by reverse transfection.
GSE109143	GSM2933036	perturbation_mechanism	sirna	treated with hnRNP L siRNA
GSE109143	GSM2933036	tissue_field	source_name_ch1	HEK-293TO cells
