Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
A006200344_208426	ERS18230249	SAMEA115286262	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208426	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208426	sequencing assay	ERX12027062		A006200344_208426_S19_L000_R2_001.fastq.gz	A006200344_208426_S19_L000_R2_001.fastq.gz	ERR12652871	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/071/ERR12652871/ERR12652871_1.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208426.bam	P-MTAB-140764	V. Boehm	A006200344_208426.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006200344_208426	ERS18230249	SAMEA115286262	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208426	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208426	sequencing assay	ERX12027062		A006200344_208426_S19_L000_R1_001.fastq.gz	A006200344_208426_S19_L000_R1_001.fastq.gz	ERR12652871	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/071/ERR12652871/ERR12652871_2.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208426.bam	P-MTAB-140764	V. Boehm	A006200344_208426.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006200344_208429	ERS18230250	SAMEA115286263	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208429	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208429	sequencing assay	ERX12027063		A006200344_208429_S20_L000_R2_001.fastq.gz	A006200344_208429_S20_L000_R2_001.fastq.gz	ERR12652872	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/072/ERR12652872/ERR12652872_1.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208429.bam	P-MTAB-140764	V. Boehm	A006200344_208429.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006200344_208429	ERS18230250	SAMEA115286263	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208429	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208429	sequencing assay	ERX12027063		A006200344_208429_S20_L000_R1_001.fastq.gz	A006200344_208429_S20_L000_R1_001.fastq.gz	ERR12652872	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/072/ERR12652872/ERR12652872_2.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208429.bam	P-MTAB-140764	V. Boehm	A006200344_208429.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006200344_208431	ERS18230251	SAMEA115286264	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	3	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208431	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208431	sequencing assay	ERX12027064		A006200344_208431_S21_L000_R1_001.fastq.gz	A006200344_208431_S21_L000_R1_001.fastq.gz	ERR12652873	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/073/ERR12652873/ERR12652873_1.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208431.bam	P-MTAB-140764	V. Boehm	A006200344_208431.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006200344_208431	ERS18230251	SAMEA115286264	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	3	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208431	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208431	sequencing assay	ERX12027064		A006200344_208431_S21_L000_R2_001.fastq.gz	A006200344_208431_S21_L000_R2_001.fastq.gz	ERR12652873	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/073/ERR12652873/ERR12652873_2.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208431.bam	P-MTAB-140764	V. Boehm	A006200344_208431.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006200344_208433	ERS18230252	SAMEA115286265	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208433	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208433	sequencing assay	ERX12027065		A006200344_208433_S22_L000_R2_001.fastq.gz	A006200344_208433_S22_L000_R2_001.fastq.gz	ERR12652874	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/074/ERR12652874/ERR12652874_1.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208433.bam	P-MTAB-140764	V. Boehm	A006200344_208433.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006200344_208433	ERS18230252	SAMEA115286265	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208433	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208433	sequencing assay	ERX12027065		A006200344_208433_S22_L000_R1_001.fastq.gz	A006200344_208433_S22_L000_R1_001.fastq.gz	ERR12652874	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/074/ERR12652874/ERR12652874_2.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208433.bam	P-MTAB-140764	V. Boehm	A006200344_208433.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006200344_208435	ERS18230253	SAMEA115286266	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208435	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208435	sequencing assay	ERX12027066		A006200344_208435_S23_L000_R2_001.fastq.gz	A006200344_208435_S23_L000_R2_001.fastq.gz	ERR12652875	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/075/ERR12652875/ERR12652875_1.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208435.bam	P-MTAB-140764	V. Boehm	A006200344_208435.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006200344_208435	ERS18230253	SAMEA115286266	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-140758	D. Wallmeroth	P-MTAB-140762	D. Wallmeroth	P-MTAB-140763	D. Wallmeroth	P-MTAB-140759	D. Wallmeroth	P-MTAB-140760	Cologne Center for Genomics (CCG)	A006200344_208435	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140761	Cologne Center for Genomics (CCG)	A006200344_208435	sequencing assay	ERX12027066		A006200344_208435_S23_L000_R1_001.fastq.gz	A006200344_208435_S23_L000_R1_001.fastq.gz	ERR12652875	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/075/ERR12652875/ERR12652875_2.fastq.gz	P-MTAB-140764	V. Boehm	A006200344_208435.bam	P-MTAB-140764	V. Boehm	A006200344_208435.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
