Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[recovery]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Factor Value[time]	Unit[time unit]	Factor Value[recovery]	Unit[time unit]
200688	ERS24934162	SAMEA118544298	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	1	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200688	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200688	sequencing assay	ERX14514550	A006850289_200688_S16_L000_R1_001.fastq.gz	A006850289_200688_S16_L000_R1_001.fastq.gz	ERR15109852	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/052/ERR15109852/ERR15109852_1.fastq.gz	P-MTAB-156251	V. Boehm	200688.bam	P-MTAB-156251	V. Boehm	200688.bam.bai	none					not applicable	
200688	ERS24934162	SAMEA118544298	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	1	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200688	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200688	sequencing assay	ERX14514550	A006850289_200688_S16_L000_R2_001.fastq.gz	A006850289_200688_S16_L000_R2_001.fastq.gz	ERR15109852	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/052/ERR15109852/ERR15109852_2.fastq.gz	P-MTAB-156251	V. Boehm	200688.bam	P-MTAB-156251	V. Boehm	200688.bam.bai	none					not applicable	
200691	ERS24934163	SAMEA118544299	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	2	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200691	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200691	sequencing assay	ERX14514551	A006850289_200691_S17_L000_R1_001.fastq.gz	A006850289_200691_S17_L000_R1_001.fastq.gz	ERR15109853	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/053/ERR15109853/ERR15109853_1.fastq.gz	P-MTAB-156251	V. Boehm	200691.bam	P-MTAB-156251	V. Boehm	200691.bam.bai	none					not applicable	
200691	ERS24934163	SAMEA118544299	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	2	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200691	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200691	sequencing assay	ERX14514551	A006850289_200691_S17_L000_R2_001.fastq.gz	A006850289_200691_S17_L000_R2_001.fastq.gz	ERR15109853	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/053/ERR15109853/ERR15109853_2.fastq.gz	P-MTAB-156251	V. Boehm	200691.bam	P-MTAB-156251	V. Boehm	200691.bam.bai	none					not applicable	
200693	ERS24934164	SAMEA118544300	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	3	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200693	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200693	sequencing assay	ERX14514552	A006850289_200693_S18_L000_R1_001.fastq.gz	A006850289_200693_S18_L000_R1_001.fastq.gz	ERR15109854	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/054/ERR15109854/ERR15109854_1.fastq.gz	P-MTAB-156251	V. Boehm	200693.bam	P-MTAB-156251	V. Boehm	200693.bam.bai	none					not applicable	
200693	ERS24934164	SAMEA118544300	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	3	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200693	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200693	sequencing assay	ERX14514552	A006850289_200693_S18_L000_R2_001.fastq.gz	A006850289_200693_S18_L000_R2_001.fastq.gz	ERR15109854	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/054/ERR15109854/ERR15109854_2.fastq.gz	P-MTAB-156251	V. Boehm	200693.bam	P-MTAB-156251	V. Boehm	200693.bam.bai	none					not applicable	
200695	ERS24934165	SAMEA118544301	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	1	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200695	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200695	sequencing assay	ERX14514553	A006850289_200695_S19_L000_R1_001.fastq.gz	A006850289_200695_S19_L000_R1_001.fastq.gz	ERR15109855	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/055/ERR15109855/ERR15109855_1.fastq.gz	P-MTAB-156251	V. Boehm	200695.bam	P-MTAB-156251	V. Boehm	200695.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	0	hour
200695	ERS24934165	SAMEA118544301	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	1	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200695	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200695	sequencing assay	ERX14514553	A006850289_200695_S19_L000_R2_001.fastq.gz	A006850289_200695_S19_L000_R2_001.fastq.gz	ERR15109855	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/055/ERR15109855/ERR15109855_2.fastq.gz	P-MTAB-156251	V. Boehm	200695.bam	P-MTAB-156251	V. Boehm	200695.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	0	hour
200697	ERS24934166	SAMEA118544302	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	2	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200697	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200697	sequencing assay	ERX14514554	A006850289_200697_S20_L000_R1_001.fastq.gz	A006850289_200697_S20_L000_R1_001.fastq.gz	ERR15109856	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/056/ERR15109856/ERR15109856_1.fastq.gz	P-MTAB-156251	V. Boehm	200697.bam	P-MTAB-156251	V. Boehm	200697.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	0	hour
200697	ERS24934166	SAMEA118544302	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	0	hour	EFO	UO_0000032	2	ERCC	RNA	P-MTAB-156245	D. Wallmeroth	P-MTAB-156249	D. Wallmeroth	P-MTAB-156250	D. Wallmeroth	P-MTAB-156246	D. Wallmeroth	P-MTAB-156247	Cologne Center for Genomics (CCG)	200697	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-156248	Cologne Center for Genomics (CCG)	200697	sequencing assay	ERX14514554	A006850289_200697_S20_L000_R2_001.fastq.gz	A006850289_200697_S20_L000_R2_001.fastq.gz	ERR15109856	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/056/ERR15109856/ERR15109856_2.fastq.gz	P-MTAB-156251	V. Boehm	200697.bam	P-MTAB-156251	V. Boehm	200697.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	24	hour	0	hour
