Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[genotype]	Material Type	Description	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[genotype]	Factor Value[RNA interference]
106030	ERS3917158	SAMEA6116898	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT1	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106030	PAIRED	Inverse rRNA	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106030	sequencing assay	ERX3613463	A006200038_106030_S1_L001_R1_001.fastq.gz	A006200038_106030_S1_L001_R1_001.fastq.gz	ERR3618012	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/002/ERR3618012/ERR3618012_1.fastq.gz	wild type genotype	none
106030	ERS3917158	SAMEA6116898	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT1	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106030	PAIRED	Inverse rRNA	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106030	sequencing assay	ERX3613463	A006200038_106030_S1_L001_R2_001.fastq.gz	A006200038_106030_S1_L001_R2_001.fastq.gz	ERR3618012	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/002/ERR3618012/ERR3618012_2.fastq.gz	wild type genotype	none
106030	ERS3917158	SAMEA6116898	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT1	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106030	PAIRED	Inverse rRNA	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106030	sequencing assay	ERX3613463	A006200038_106030_S1_L002_R1_001.fastq.gz	A006200038_106030_S1_L002_R1_001.fastq.gz	ERR3618013	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/003/ERR3618013/ERR3618013_1.fastq.gz	wild type genotype	none
106030	ERS3917158	SAMEA6116898	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT1	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106030	PAIRED	Inverse rRNA	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106030	sequencing assay	ERX3613463	A006200038_106030_S1_L002_R2_001.fastq.gz	A006200038_106030_S1_L002_R2_001.fastq.gz	ERR3618013	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/003/ERR3618013/ERR3618013_2.fastq.gz	wild type genotype	none
106030	ERS3917158	SAMEA6116898	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT1	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106030	PAIRED	Inverse rRNA	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106030	sequencing assay	ERX3613463	A006850026_106030_S1_L003_R1_001.fastq.gz	A006850026_106030_S1_L003_R1_001.fastq.gz	ERR3618014	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/004/ERR3618014/ERR3618014_1.fastq.gz	wild type genotype	none
106030	ERS3917158	SAMEA6116898	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT1	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106030	PAIRED	Inverse rRNA	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106030	sequencing assay	ERX3613463	A006850026_106030_S1_L003_R2_001.fastq.gz	A006850026_106030_S1_L003_R2_001.fastq.gz	ERR3618014	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/004/ERR3618014/ERR3618014_2.fastq.gz	wild type genotype	none
106030	ERS3917158	SAMEA6116898	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT1	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106030	PAIRED	Inverse rRNA	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106030	sequencing assay	ERX3613463	A006850026_106030_S1_L004_R1_001.fastq.gz	A006850026_106030_S1_L004_R1_001.fastq.gz	ERR3618015	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/005/ERR3618015/ERR3618015_1.fastq.gz	wild type genotype	none
106030	ERS3917158	SAMEA6116898	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT1	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106030	PAIRED	Inverse rRNA	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106030	sequencing assay	ERX3613463	A006850026_106030_S1_L004_R2_001.fastq.gz	A006850026_106030_S1_L004_R2_001.fastq.gz	ERR3618015	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/005/ERR3618015/ERR3618015_2.fastq.gz	wild type genotype	none
106032	ERS3917159	SAMEA6116899	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT2	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106032	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106032	sequencing assay	ERX3613464	A006200038_106032_S2_L001_R1_001.fastq.gz	A006200038_106032_S2_L001_R1_001.fastq.gz	ERR3618016	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/006/ERR3618016/ERR3618016_1.fastq.gz	wild type genotype	none
106032	ERS3917159	SAMEA6116899	Homo sapiens	Flp-In-T-REx-293	wild type genotype	cell	WT2	P-MTAB-90678	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90679	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	P-MTAB-90680	Gehring lab - Institute for Genetics, University of Cologne, 50674 Cologne, Germany	106032	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	230	185	P-MTAB-90681	Cologne Center for Genomics (CCG), University of Cologne, 50931 Cologne, Germany	106032	sequencing assay	ERX3613464	A006200038_106032_S2_L001_R2_001.fastq.gz	A006200038_106032_S2_L001_R2_001.fastq.gz	ERR3618016	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR361/006/ERR3618016/ERR3618016_2.fastq.gz	wild type genotype	none
