Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[disease]	Characteristics[genotype]	Characteristics[replicate]	Characteristics[genetic modification]	Comment[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Protocol REF	Derived Array Data File	Factor Value[genotype]	Factor Value[RNA interference]
A006200071_119401	ERS7104718	SAMEA9389626	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	wild type genotype	1	none	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119401	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119401	sequencing assay	ERX5857270	A006200071_119401_1.fq.gz	A006200071_119401_1.fq.gz	ERR6222320	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/000/ERR6222320/ERR6222320_1.fastq.gz	P-MTAB-112026	A006200071_119401.bam	P-MTAB-112026	A006200071_119401.bam.bai	wild type genotype	Luciferase siRNA
A006200071_119401	ERS7104718	SAMEA9389626	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	wild type genotype	1	none	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119401	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119401	sequencing assay	ERX5857270	A006200071_119401_2.fq.gz	A006200071_119401_2.fq.gz	ERR6222320	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/000/ERR6222320/ERR6222320_2.fastq.gz	P-MTAB-112026	A006200071_119401.bam	P-MTAB-112026	A006200071_119401.bam.bai	wild type genotype	Luciferase siRNA
A006200071_119403	ERS7104719	SAMEA9389628	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	wild type genotype	2	none	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119403	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119403	sequencing assay	ERX5857271	A006200071_119403_1.fq.gz	A006200071_119403_1.fq.gz	ERR6222321	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/001/ERR6222321/ERR6222321_1.fastq.gz	P-MTAB-112026	A006200071_119403.bam	P-MTAB-112026	A006200071_119403.bam.bai	wild type genotype	Luciferase siRNA
A006200071_119403	ERS7104719	SAMEA9389628	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	wild type genotype	2	none	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119403	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119403	sequencing assay	ERX5857271	A006200071_119403_2.fq.gz	A006200071_119403_2.fq.gz	ERR6222321	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/001/ERR6222321/ERR6222321_2.fastq.gz	P-MTAB-112026	A006200071_119403.bam	P-MTAB-112026	A006200071_119403.bam.bai	wild type genotype	Luciferase siRNA
A006200071_119405	ERS7104720	SAMEA9389627	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	wild type genotype	3	none	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119405	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119405	sequencing assay	ERX5857272	A006200071_119405_1.fq.gz	A006200071_119405_1.fq.gz	ERR6222322	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6222322/ERR6222322_1.fastq.gz	P-MTAB-112026	A006200071_119405.bam	P-MTAB-112026	A006200071_119405.bam.bai	wild type genotype	Luciferase siRNA
A006200071_119405	ERS7104720	SAMEA9389627	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	wild type genotype	3	none	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119405	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119405	sequencing assay	ERX5857272	A006200071_119405_2.fq.gz	A006200071_119405_2.fq.gz	ERR6222322	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6222322/ERR6222322_2.fastq.gz	P-MTAB-112026	A006200071_119405.bam	P-MTAB-112026	A006200071_119405.bam.bai	wild type genotype	Luciferase siRNA
A006200071_119407	ERS7104721	SAMEA9389629	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3B knockout clone 90	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119407	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119407	sequencing assay	ERX5857273	A006200071_119407_1.fq.gz	A006200071_119407_1.fq.gz	ERR6222323	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/003/ERR6222323/ERR6222323_1.fastq.gz	P-MTAB-112026	A006200071_119407.bam	P-MTAB-112026	A006200071_119407.bam.bai	UPF3B knockout clone 90	Luciferase siRNA
A006200071_119407	ERS7104721	SAMEA9389629	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3B knockout clone 90	1	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119407	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119407	sequencing assay	ERX5857273	A006200071_119407_2.fq.gz	A006200071_119407_2.fq.gz	ERR6222323	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/003/ERR6222323/ERR6222323_2.fastq.gz	P-MTAB-112026	A006200071_119407.bam	P-MTAB-112026	A006200071_119407.bam.bai	UPF3B knockout clone 90	Luciferase siRNA
A006200071_119409	ERS7104722	SAMEA9389630	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3B knockout clone 90	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119409	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119409	sequencing assay	ERX5857274	A006200071_119409_1.fq.gz	A006200071_119409_1.fq.gz	ERR6222324	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/004/ERR6222324/ERR6222324_1.fastq.gz	P-MTAB-112026	A006200071_119409.bam	P-MTAB-112026	A006200071_119409.bam.bai	UPF3B knockout clone 90	Luciferase siRNA
A006200071_119409	ERS7104722	SAMEA9389630	Homo sapiens	late embryonic stage	kidney	epithelial cell	Flp-In-T-REx-293	normal	UPF3B knockout clone 90	2	CRISPR/Cas9 knockout	ERCC	cell	P-MTAB-112022	D. Wallmeroth	P-MTAB-112023	D. Wallmeroth	P-MTAB-112024	M. Franitza	A006200071_119409	RNA	PAIRED	Inverse rRNA selection	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-112025	M. Franitza	A006200071_119409	sequencing assay	ERX5857274	A006200071_119409_2.fq.gz	A006200071_119409_2.fq.gz	ERR6222324	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/004/ERR6222324/ERR6222324_2.fastq.gz	P-MTAB-112026	A006200071_119409.bam	P-MTAB-112026	A006200071_119409.bam.bai	UPF3B knockout clone 90	Luciferase siRNA
