Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
191495	ERS18293869	SAMEA115296691	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191495	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191495_S13_L000	group 1	sequencing assay	ERX12037173	A006850265_191495_S13_L000_R2_001.fastq.gz	A006850265_191495_S13_L000_R2_001.fastq.gz	ERR12662959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/059/ERR12662959/ERR12662959_1.fastq.gz	P-MTAB-140998	V. Boehm	191495.bam	P-MTAB-140998	V. Boehm	191495.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191495	ERS18293869	SAMEA115296691	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191495	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191495_S13_L000	group 1	sequencing assay	ERX12037173	A006850265_191495_S13_L000_R1_001.fastq.gz	A006850265_191495_S13_L000_R1_001.fastq.gz	ERR12662959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/059/ERR12662959/ERR12662959_2.fastq.gz	P-MTAB-140998	V. Boehm	191495.bam	P-MTAB-140998	V. Boehm	191495.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191495	ERS18293869	SAMEA115296691	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191495	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006200283_191495_S12_L000	group 1	sequencing assay	ERX12037173	A006200283_191495_S12_L000_R2_001.fastq.gz	A006200283_191495_S12_L000_R2_001.fastq.gz	ERR12662960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/060/ERR12662960/ERR12662960_1.fastq.gz	P-MTAB-140998	V. Boehm	191495.bam	P-MTAB-140998	V. Boehm	191495.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191495	ERS18293869	SAMEA115296691	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191495	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006200283_191495_S12_L000	group 1	sequencing assay	ERX12037173	A006200283_191495_S12_L000_R1_001.fastq.gz	A006200283_191495_S12_L000_R1_001.fastq.gz	ERR12662960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/060/ERR12662960/ERR12662960_2.fastq.gz	P-MTAB-140998	V. Boehm	191495.bam	P-MTAB-140998	V. Boehm	191495.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191498	ERS18293870	SAMEA115296692	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191498	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191498_S14_L000		sequencing assay	ERX12037174	A006850265_191498_S14_L000_R1_001.fastq.gz	A006850265_191498_S14_L000_R1_001.fastq.gz	ERR12662961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/061/ERR12662961/ERR12662961_1.fastq.gz	P-MTAB-140998	V. Boehm	191498.bam	P-MTAB-140998	V. Boehm	191498.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191498	ERS18293870	SAMEA115296692	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191498	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191498_S14_L000		sequencing assay	ERX12037174	A006850265_191498_S14_L000_R2_001.fastq.gz	A006850265_191498_S14_L000_R2_001.fastq.gz	ERR12662961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/061/ERR12662961/ERR12662961_2.fastq.gz	P-MTAB-140998	V. Boehm	191498.bam	P-MTAB-140998	V. Boehm	191498.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191500	ERS18293871	SAMEA115296693	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	3	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191500	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191500_S15_L000	group 2	sequencing assay	ERX12037175	A006850265_191500_S15_L000_R2_001.fastq.gz	A006850265_191500_S15_L000_R2_001.fastq.gz	ERR12662962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/062/ERR12662962/ERR12662962_1.fastq.gz	P-MTAB-140998	V. Boehm	191500.bam	P-MTAB-140998	V. Boehm	191500.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191500	ERS18293871	SAMEA115296693	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	3	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191500	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191500_S15_L000	group 2	sequencing assay	ERX12037175	A006850265_191500_S15_L000_R1_001.fastq.gz	A006850265_191500_S15_L000_R1_001.fastq.gz	ERR12662962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/062/ERR12662962/ERR12662962_2.fastq.gz	P-MTAB-140998	V. Boehm	191500.bam	P-MTAB-140998	V. Boehm	191500.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191500	ERS18293871	SAMEA115296693	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	3	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191500	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006200283_191500_S66_L000	group 2	sequencing assay	ERX12037175	A006200283_191500_S66_L000_R2_001.fastq.gz	A006200283_191500_S66_L000_R2_001.fastq.gz	ERR12662963	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/063/ERR12662963/ERR12662963_1.fastq.gz	P-MTAB-140998	V. Boehm	191500.bam	P-MTAB-140998	V. Boehm	191500.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191500	ERS18293871	SAMEA115296693	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	3	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191500	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006200283_191500_S66_L000	group 2	sequencing assay	ERX12037175	A006200283_191500_S66_L000_R1_001.fastq.gz	A006200283_191500_S66_L000_R1_001.fastq.gz	ERR12662963	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/063/ERR12662963/ERR12662963_2.fastq.gz	P-MTAB-140998	V. Boehm	191500.bam	P-MTAB-140998	V. Boehm	191500.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none					0	hour	EFO	UO_0000032
191502	ERS18293872	SAMEA115296694	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191502	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191502_S16_L000		sequencing assay	ERX12037176	A006850265_191502_S16_L000_R1_001.fastq.gz	A006850265_191502_S16_L000_R1_001.fastq.gz	ERR12662964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/064/ERR12662964/ERR12662964_1.fastq.gz	P-MTAB-140998	V. Boehm	191502.bam	P-MTAB-140998	V. Boehm	191502.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	48	hour	EFO	UO_0000032
191502	ERS18293872	SAMEA115296694	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191502	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191502_S16_L000		sequencing assay	ERX12037176	A006850265_191502_S16_L000_R2_001.fastq.gz	A006850265_191502_S16_L000_R2_001.fastq.gz	ERR12662964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/064/ERR12662964/ERR12662964_2.fastq.gz	P-MTAB-140998	V. Boehm	191502.bam	P-MTAB-140998	V. Boehm	191502.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	48	hour	EFO	UO_0000032
191504	ERS18293873	SAMEA115296695	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191504	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191504_S17_L000		sequencing assay	ERX12037177	A006850265_191504_S17_L000_R2_001.fastq.gz	A006850265_191504_S17_L000_R2_001.fastq.gz	ERR12662965	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/065/ERR12662965/ERR12662965_1.fastq.gz	P-MTAB-140998	V. Boehm	191504.bam	P-MTAB-140998	V. Boehm	191504.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	48	hour	EFO	UO_0000032
191504	ERS18293873	SAMEA115296695	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191504	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191504_S17_L000		sequencing assay	ERX12037177	A006850265_191504_S17_L000_R1_001.fastq.gz	A006850265_191504_S17_L000_R1_001.fastq.gz	ERR12662965	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/065/ERR12662965/ERR12662965_2.fastq.gz	P-MTAB-140998	V. Boehm	191504.bam	P-MTAB-140998	V. Boehm	191504.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	48	hour	EFO	UO_0000032
191506	ERS18293874	SAMEA115296696	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	3	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191506	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191506_S18_L000		sequencing assay	ERX12037178	A006850265_191506_S18_L000_R1_001.fastq.gz	A006850265_191506_S18_L000_R1_001.fastq.gz	ERR12662966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12662966/ERR12662966_1.fastq.gz	P-MTAB-140998	V. Boehm	191506.bam	P-MTAB-140998	V. Boehm	191506.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	48	hour	EFO	UO_0000032
191506	ERS18293874	SAMEA115296696	Homo sapiens	HCT116	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	3	ERCC	cell	P-MTAB-140992	D. Wallmeroth	P-MTAB-140996	D. Wallmeroth	P-MTAB-140997	D. Wallmeroth	P-MTAB-140993	D. Wallmeroth	P-MTAB-140994	Cologne Center for Genomics (CCG)	191506	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-140995	Cologne Center for Genomics (CCG)	A006850265_191506_S18_L000		sequencing assay	ERX12037178	A006850265_191506_S18_L000_R2_001.fastq.gz	A006850265_191506_S18_L000_R2_001.fastq.gz	ERR12662966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12662966/ERR12662966_2.fastq.gz	P-MTAB-140998	V. Boehm	191506.bam	P-MTAB-140998	V. Boehm	191506.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	48	hour	EFO	UO_0000032
