Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
A006850321_209271	ERS18330951	SAMEA115333765	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	wild type genotype	none	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209271	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209271	sequencing assay	ERX12058240		A006850321_209271_S31_L000_R2_001.fastq.gz	A006850321_209271_S31_L000_R2_001.fastq.gz	ERR12684127	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/027/ERR12684127/ERR12684127_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209271.bam	P-MTAB-141330	V. Boehm	A006850321_209271.bam.bai	wild type genotype	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209271	ERS18330951	SAMEA115333765	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	wild type genotype	none	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209271	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209271	sequencing assay	ERX12058240		A006850321_209271_S31_L000_R1_001.fastq.gz	A006850321_209271_S31_L000_R1_001.fastq.gz	ERR12684127	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/027/ERR12684127/ERR12684127_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209271.bam	P-MTAB-141330	V. Boehm	A006850321_209271.bam.bai	wild type genotype	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209274	ERS18330952	SAMEA115333766	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	wild type genotype	none	2	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209274	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209274	sequencing assay	ERX12058241		A006850321_209274_S32_L000_R2_001.fastq.gz	A006850321_209274_S32_L000_R2_001.fastq.gz	ERR12684128	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/028/ERR12684128/ERR12684128_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209274.bam	P-MTAB-141330	V. Boehm	A006850321_209274.bam.bai	wild type genotype	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209274	ERS18330952	SAMEA115333766	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	wild type genotype	none	2	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209274	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209274	sequencing assay	ERX12058241		A006850321_209274_S32_L000_R1_001.fastq.gz	A006850321_209274_S32_L000_R1_001.fastq.gz	ERR12684128	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/028/ERR12684128/ERR12684128_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209274.bam	P-MTAB-141330	V. Boehm	A006850321_209274.bam.bai	wild type genotype	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209276	ERS18330953	SAMEA115333767	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	wild type genotype	none	3	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209276	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209276	sequencing assay	ERX12058242		A006850321_209276_S33_L000_R1_001.fastq.gz	A006850321_209276_S33_L000_R1_001.fastq.gz	ERR12684129	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/029/ERR12684129/ERR12684129_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209276.bam	P-MTAB-141330	V. Boehm	A006850321_209276.bam.bai	wild type genotype	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209276	ERS18330953	SAMEA115333767	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	wild type genotype	none	3	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209276	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209276	sequencing assay	ERX12058242		A006850321_209276_S33_L000_R2_001.fastq.gz	A006850321_209276_S33_L000_R2_001.fastq.gz	ERR12684129	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/029/ERR12684129/ERR12684129_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209276.bam	P-MTAB-141330	V. Boehm	A006850321_209276.bam.bai	wild type genotype	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209278	ERS18330954	SAMEA115333768	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209278	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209278	sequencing assay	ERX12058243		A006850321_209278_S34_L000_R2_001.fastq.gz	A006850321_209278_S34_L000_R2_001.fastq.gz	ERR12684130	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/030/ERR12684130/ERR12684130_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209278.bam	P-MTAB-141330	V. Boehm	A006850321_209278.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209278	ERS18330954	SAMEA115333768	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209278	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209278	sequencing assay	ERX12058243		A006850321_209278_S34_L000_R1_001.fastq.gz	A006850321_209278_S34_L000_R1_001.fastq.gz	ERR12684130	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/030/ERR12684130/ERR12684130_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209278.bam	P-MTAB-141330	V. Boehm	A006850321_209278.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209280	ERS18330955	SAMEA115333769	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209280	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209280	sequencing assay	ERX12058244		A006850321_209280_S35_L000_R2_001.fastq.gz	A006850321_209280_S35_L000_R2_001.fastq.gz	ERR12684131	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/031/ERR12684131/ERR12684131_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209280.bam	P-MTAB-141330	V. Boehm	A006850321_209280.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209280	ERS18330955	SAMEA115333769	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	2	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209280	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209280	sequencing assay	ERX12058244		A006850321_209280_S35_L000_R1_001.fastq.gz	A006850321_209280_S35_L000_R1_001.fastq.gz	ERR12684131	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/031/ERR12684131/ERR12684131_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209280.bam	P-MTAB-141330	V. Boehm	A006850321_209280.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209282	ERS18330956	SAMEA115333770	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	3	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209282	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209282	sequencing assay	ERX12058245		A006850321_209282_S36_L000_R1_001.fastq.gz	A006850321_209282_S36_L000_R1_001.fastq.gz	ERR12684132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/032/ERR12684132/ERR12684132_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209282.bam	P-MTAB-141330	V. Boehm	A006850321_209282.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209282	ERS18330956	SAMEA115333770	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	3	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209282	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209282	sequencing assay	ERX12058245		A006850321_209282_S36_L000_R2_001.fastq.gz	A006850321_209282_S36_L000_R2_001.fastq.gz	ERR12684132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/032/ERR12684132/ERR12684132_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209282.bam	P-MTAB-141330	V. Boehm	A006850321_209282.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
A006850321_209284	ERS18330957	SAMEA115333771	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209284	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209284	sequencing assay	ERX12058246		A006850321_209284_S37_L000_R2_001.fastq.gz	A006850321_209284_S37_L000_R2_001.fastq.gz	ERR12684133	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/033/ERR12684133/ERR12684133_1.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209284.bam	P-MTAB-141330	V. Boehm	A006850321_209284.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	dTAGV-1	0.25	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
A006850321_209284	ERS18330957	SAMEA115333771	Homo sapiens	female	late embryonic stage	kidney	normal	epithelial cell	Flp-In-T-REx-293	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	CRISPR/Cas9	1	ERCC	RNA	P-MTAB-141324	D. Wallmeroth	P-MTAB-141328	D. Wallmeroth	P-MTAB-141329	D. Wallmeroth	P-MTAB-141325	D. Wallmeroth	P-MTAB-141326	Cologne Center for Genomics (CCG)	A006850321_209284	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141327	Cologne Center for Genomics (CCG)	A006850321_209284	sequencing assay	ERX12058246		A006850321_209284_S37_L000_R1_001.fastq.gz	A006850321_209284_S37_L000_R1_001.fastq.gz	ERR12684133	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/033/ERR12684133/ERR12684133_2.fastq.gz	P-MTAB-141330	V. Boehm	A006850321_209284.bam	P-MTAB-141330	V. Boehm	A006850321_209284.bam.bai	pCRIS-PITChv2-PurR-FKBP (UPF1 N)	dTAGV-1	0.25	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
