Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[compound2]	Characteristics[dose2]	Unit[concentration unit]	Term Source REF	Term Accession Number	Characteristics[time2]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number	Factor Value[compound2]	Factor Value[dose2]	Unit[concentration unit]	Term Source REF	Term Accession Number
Ctrl_0h_IAA_4SU_1	ERS18334884	SAMEA115337019	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_0h_IAA_4SU_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_0h_IAA_4SU_1	sequencing assay	ERX12059554	P-MTAB-141159	Ctrl_0h_IAA_4SU_1_S13_L002_R2_001.fastq.gz	Ctrl_0h_IAA_4SU_1_S13_L002_R2_001.fastq.gz	ERR12685440	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/040/ERR12685440/ERR12685440_1.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_1.bam	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_0h_IAA_4SU_1	ERS18334884	SAMEA115337019	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_0h_IAA_4SU_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_0h_IAA_4SU_1	sequencing assay	ERX12059554	P-MTAB-141159	Ctrl_0h_IAA_4SU_1_S13_L002_R1_001.fastq.gz	Ctrl_0h_IAA_4SU_1_S13_L002_R1_001.fastq.gz	ERR12685440	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/040/ERR12685440/ERR12685440_2.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_1.bam	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_0h_IAA_4SU_2	ERS18334885	SAMEA115337020	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_0h_IAA_4SU_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_0h_IAA_4SU_2	sequencing assay	ERX12059555	P-MTAB-141159	Ctrl_0h_IAA_4SU_2_S14_L002_R2_001.fastq.gz	Ctrl_0h_IAA_4SU_2_S14_L002_R2_001.fastq.gz	ERR12685441	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/041/ERR12685441/ERR12685441_1.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_2.bam	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_0h_IAA_4SU_2	ERS18334885	SAMEA115337020	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_0h_IAA_4SU_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_0h_IAA_4SU_2	sequencing assay	ERX12059555	P-MTAB-141159	Ctrl_0h_IAA_4SU_2_S14_L002_R1_001.fastq.gz	Ctrl_0h_IAA_4SU_2_S14_L002_R1_001.fastq.gz	ERR12685441	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/041/ERR12685441/ERR12685441_2.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_2.bam	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_0h_IAA_4SU_3	ERS18334886	SAMEA115337021	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	3	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_0h_IAA_4SU_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_0h_IAA_4SU_3	sequencing assay	ERX12059556	P-MTAB-141159	Ctrl_0h_IAA_4SU_3_S15_L002_R1_001.fastq.gz	Ctrl_0h_IAA_4SU_3_S15_L002_R1_001.fastq.gz	ERR12685442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/042/ERR12685442/ERR12685442_1.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_3.bam	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_3.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_0h_IAA_4SU_3	ERS18334886	SAMEA115337021	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	3	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_0h_IAA_4SU_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_0h_IAA_4SU_3	sequencing assay	ERX12059556	P-MTAB-141159	Ctrl_0h_IAA_4SU_3_S15_L002_R2_001.fastq.gz	Ctrl_0h_IAA_4SU_3_S15_L002_R2_001.fastq.gz	ERR12685442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/042/ERR12685442/ERR12685442_2.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_3.bam	P-MTAB-141921	V. Boehm	Ctrl_0h_IAA_4SU_3.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_12h_IAA_4SU_1	ERS18334887	SAMEA115337022	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_12h_IAA_4SU_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_12h_IAA_4SU_1	sequencing assay	ERX12059557	P-MTAB-141159	Ctrl_12h_IAA_4SU_1_S16_L002_R2_001.fastq.gz	Ctrl_12h_IAA_4SU_1_S16_L002_R2_001.fastq.gz	ERR12685443	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/043/ERR12685443/ERR12685443_1.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_1.bam	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_12h_IAA_4SU_1	ERS18334887	SAMEA115337022	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	1	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_12h_IAA_4SU_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_12h_IAA_4SU_1	sequencing assay	ERX12059557	P-MTAB-141159	Ctrl_12h_IAA_4SU_1_S16_L002_R1_001.fastq.gz	Ctrl_12h_IAA_4SU_1_S16_L002_R1_001.fastq.gz	ERR12685443	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/043/ERR12685443/ERR12685443_2.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_1.bam	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_1.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_12h_IAA_4SU_2	ERS18334888	SAMEA115337023	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_12h_IAA_4SU_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_12h_IAA_4SU_2	sequencing assay	ERX12059558	P-MTAB-141159	Ctrl_12h_IAA_4SU_2_S17_L002_R2_001.fastq.gz	Ctrl_12h_IAA_4SU_2_S17_L002_R2_001.fastq.gz	ERR12685444	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/044/ERR12685444/ERR12685444_1.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_2.bam	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
Ctrl_12h_IAA_4SU_2	ERS18334888	SAMEA115337023	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064	2	hour	EFO	UO_0000032	2	none	cell	P-MTAB-141156	D. Wallmeroth	P-MTAB-141160	D. Wallmeroth	P-MTAB-141161	D. Wallmeroth	P-MTAB-141157	D. Wallmeroth	P-MTAB-141158	Paul O. Wulf	Ctrl_12h_IAA_4SU_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-141159	AG Landthaler, MDC, Berlin	Ctrl_12h_IAA_4SU_2	sequencing assay	ERX12059558	P-MTAB-141159	Ctrl_12h_IAA_4SU_2_S17_L002_R1_001.fastq.gz	Ctrl_12h_IAA_4SU_2_S17_L002_R1_001.fastq.gz	ERR12685444	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/044/ERR12685444/ERR12685444_2.fastq.gz	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_2.bam	P-MTAB-141921	V. Boehm	Ctrl_12h_IAA_4SU_2.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032	4-thiouridine (4SU)	200	micromolar	EFO	UO_0000064
