Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
NT1minus	ERS21083735	SAMEA116085657	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT1minus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT1minus	sequencing assay	ERX13071780		NT1m_S2_R1_001.fastq.gz	NT1m_S2_R1_001.fastq.gz	ERR13701157	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/057/ERR13701157/ERR13701157.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_1.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_1.bam.bai	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
NT1minus	ERS21083735	SAMEA116085657	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT1minus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT1minus	sequencing assay	ERX13071780		NT1minus_trim.fastq.gz	NT1minus_trim.fastq.gz	ERR13701158	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/058/ERR13701158/ERR13701158.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_1.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_1.bam.bai	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
NT1plus	ERS21083736	SAMEA116085658	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT1plus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT1plus	sequencing assay	ERX13071781		NT1p_S1_R1_001.fastq.gz	NT1p_S1_R1_001.fastq.gz	ERR13701159	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/059/ERR13701159/ERR13701159.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_2.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_2.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
NT1plus	ERS21083736	SAMEA116085658	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT1plus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT1plus	sequencing assay	ERX13071781		NT1plus_trim.fastq.gz	NT1plus_trim.fastq.gz	ERR13701160	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/060/ERR13701160/ERR13701160.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_2.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_2.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
NT2minus	ERS21083737	SAMEA116085659	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT2minus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT2minus	sequencing assay	ERX13071782		NT2minus_trim.fastq.gz	NT2minus_trim.fastq.gz	ERR13701161	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/061/ERR13701161/ERR13701161.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_3.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_3.bam.bai	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
NT2minus	ERS21083737	SAMEA116085659	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT2minus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT2minus	sequencing assay	ERX13071782		NT2m_S4_R1_001.fastq.gz	NT2m_S4_R1_001.fastq.gz	ERR13701162	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/062/ERR13701162/ERR13701162.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_3.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_0h_IAA_3.bam.bai	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
NT2plus	ERS21083738	SAMEA116085660	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT2plus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT2plus	sequencing assay	ERX13071783		NT2p_S3_R1_001.fastq.gz	NT2p_S3_R1_001.fastq.gz	ERR13701163	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/063/ERR13701163/ERR13701163.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_12h_IAA_1.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_12h_IAA_1.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
NT2plus	ERS21083738	SAMEA116085660	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	2	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT2plus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT2plus	sequencing assay	ERX13071783		NT2plus_trim.fastq.gz	NT2plus_trim.fastq.gz	ERR13701164	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/064/ERR13701164/ERR13701164.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_12h_IAA_1.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_12h_IAA_1.bam.bai	indole-3-acetic acid (IAA)	500	micromolar	EFO	UO_0000064	12	hour	EFO	UO_0000032
NT3minus	ERS21083739	SAMEA116085661	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	3	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT3minus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT3minus	sequencing assay	ERX13071784		NT3m_S6_R1_001.fastq.gz	NT3m_S6_R1_001.fastq.gz	ERR13701165	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/065/ERR13701165/ERR13701165.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_12h_IAA_2.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_12h_IAA_2.bam.bai	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
NT3minus	ERS21083739	SAMEA116085661	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	3	none	RNA	P-MTAB-156184	Luiz Gustavo Teixeira Alves	P-MTAB-156188	Luiz Gustavo Teixeira Alves	P-MTAB-156189	Luiz Gustavo Teixeira Alves	P-MTAB-156185	Luiz Gustavo Teixeira Alves	P-MTAB-156186	Luiz Gustavo Teixeira Alves	NT3minus	SINGLE	other	TRANSCRIPTOMIC	OTHER	P-MTAB-156187	AG Landthaler, MDC, Berlin	NT3minus	sequencing assay	ERX13071784		NT3minus_trim.fastq.gz	NT3minus_trim.fastq.gz	ERR13701166	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/066/ERR13701166/ERR13701166.fastq.gz	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_12h_IAA_2.bam	P-MTAB-156190	V. Boehm	HCT_N_AID_UPF1_12h_IAA_2.bam.bai	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
