Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
AID_0h_A_parental	ERS18335227	SAMEA115337344	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_A_parental	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_A_parental	sequencing assay	ERX12059972	P-MTAB-141165	AID_0h_A_parental_R2_001.fastq.gz	AID_0h_A_parental_R2_001.fastq.gz	ERR12685858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/058/ERR12685858/ERR12685858_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_A_parental.bam	P-MTAB-141168	V. Boehm	AID_0h_A_parental.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_A_parental	ERS18335227	SAMEA115337344	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_A_parental	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_A_parental	sequencing assay	ERX12059972	P-MTAB-141165	AID_0h_A_parental_R1_001.fastq.gz	AID_0h_A_parental_R1_001.fastq.gz	ERR12685858	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/058/ERR12685858/ERR12685858_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_A_parental.bam	P-MTAB-141168	V. Boehm	AID_0h_A_parental.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_A_UPF1-AID7-CT	ERS18335228	SAMEA115337345	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_A_UPF1-AID7-CT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_A_UPF1-AID7-CT	sequencing assay	ERX12059973	P-MTAB-141165	AID_0h_A_UPF1-AID7-CT_R1_001.fastq.gz	AID_0h_A_UPF1-AID7-CT_R1_001.fastq.gz	ERR12685859	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/059/ERR12685859/ERR12685859_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_A_UPF1-AID7-CT.bam	P-MTAB-141168	V. Boehm	AID_0h_A_UPF1-AID7-CT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_A_UPF1-AID7-CT	ERS18335228	SAMEA115337345	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_A_UPF1-AID7-CT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_A_UPF1-AID7-CT	sequencing assay	ERX12059973	P-MTAB-141165	AID_0h_A_UPF1-AID7-CT_R2_001.fastq.gz	AID_0h_A_UPF1-AID7-CT_R2_001.fastq.gz	ERR12685859	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/059/ERR12685859/ERR12685859_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_A_UPF1-AID7-CT.bam	P-MTAB-141168	V. Boehm	AID_0h_A_UPF1-AID7-CT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_A_UPF1-AID7-NT	ERS18335229	SAMEA115337346	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_A_UPF1-AID7-NT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_A_UPF1-AID7-NT	sequencing assay	ERX12059974	P-MTAB-141165	AID_0h_A_UPF1-AID7-NT_R2_001.fastq.gz	AID_0h_A_UPF1-AID7-NT_R2_001.fastq.gz	ERR12685860	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/060/ERR12685860/ERR12685860_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_A_UPF1-AID7-NT.bam	P-MTAB-141168	V. Boehm	AID_0h_A_UPF1-AID7-NT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_A_UPF1-AID7-NT	ERS18335229	SAMEA115337346	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	CRISPR/Cas9	1	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_A_UPF1-AID7-NT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_A_UPF1-AID7-NT	sequencing assay	ERX12059974	P-MTAB-141165	AID_0h_A_UPF1-AID7-NT_R1_001.fastq.gz	AID_0h_A_UPF1-AID7-NT_R1_001.fastq.gz	ERR12685860	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/060/ERR12685860/ERR12685860_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_A_UPF1-AID7-NT.bam	P-MTAB-141168	V. Boehm	AID_0h_A_UPF1-AID7-NT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-nterm BSD/Hygro P2A V5 AID7 (U1A3n2)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_B_parental	ERS18335230	SAMEA115337347	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_B_parental	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_B_parental	sequencing assay	ERX12059975	P-MTAB-141165	AID_0h_B_parental_R2_001.fastq.gz	AID_0h_B_parental_R2_001.fastq.gz	ERR12685861	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/061/ERR12685861/ERR12685861_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_B_parental.bam	P-MTAB-141168	V. Boehm	AID_0h_B_parental.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_B_parental	ERS18335230	SAMEA115337347	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry	CRISPR/Cas9	2	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_B_parental	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_B_parental	sequencing assay	ERX12059975	P-MTAB-141165	AID_0h_B_parental_R1_001.fastq.gz	AID_0h_B_parental_R1_001.fastq.gz	ERR12685861	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/061/ERR12685861/ERR12685861_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_B_parental.bam	P-MTAB-141168	V. Boehm	AID_0h_B_parental.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_B_UPF1-AID7-CT	ERS18335231	SAMEA115337348	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	CRISPR/Cas9	2	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_B_UPF1-AID7-CT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_B_UPF1-AID7-CT	sequencing assay	ERX12059976	P-MTAB-141165	AID_0h_B_UPF1-AID7-CT_R2_001.fastq.gz	AID_0h_B_UPF1-AID7-CT_R2_001.fastq.gz	ERR12685862	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/062/ERR12685862/ERR12685862_1.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_B_UPF1-AID7-CT.bam	P-MTAB-141168	V. Boehm	AID_0h_B_UPF1-AID7-CT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
AID_0h_B_UPF1-AID7-CT	ERS18335231	SAMEA115337348	Homo sapiens	male	adult	colon	colorectal adenocarcinoma	colorectal cancer cell	HCT116	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	CRISPR/Cas9	2	none	cell	P-MTAB-141162	Paul O. Wulf	P-MTAB-141166	Paul O. Wulf	P-MTAB-141167	Paul O. Wulf	P-MTAB-141163	Paul O. Wulf	P-MTAB-141164	Paul O. Wulf	AID_0h_B_UPF1-AID7-CT	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-141165	AG Landthaler, MDC, Berlin	AID_0h_B_UPF1-AID7-CT	sequencing assay	ERX12059976	P-MTAB-141165	AID_0h_B_UPF1-AID7-CT_R1_001.fastq.gz	AID_0h_B_UPF1-AID7-CT_R1_001.fastq.gz	ERR12685862	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/062/ERR12685862/ERR12685862_2.fastq.gz	P-MTAB-141168	V. Boehm	AID_0h_B_UPF1-AID7-CT.bam	P-MTAB-141168	V. Boehm	AID_0h_B_UPF1-AID7-CT.bam.bai	pSH-EFIRES-P-AtAFB2-mCherry UPF1-cterm AID7-v5 P2A BSD/Hygro (U1D9c7)	none	0	micromolar	EFO	UO_0000064	0	hour	EFO	UO_0000032
