Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Term Source REF	Term Accession Number	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
HFF_A_smgi	ERS22945691	SAMEA117610546	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_A_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_A_smgi	sequencing assay	ERX13563899		HFF_A_smgi_S24_R2_001.fastq.gz	HFF_A_smgi_S24_R2_001.fastq.gz	ERR14161358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/058/ERR14161358/ERR14161358_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_A_smgi.bam	P-MTAB-150507	V. Boehm	HFF_A_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_A_smgi	ERS22945691	SAMEA117610546	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_A_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_A_smgi	sequencing assay	ERX13563899		HFF_A_smgi_S42_R1_001.fastq.gz	HFF_A_smgi_S42_R1_001.fastq.gz	ERR14161359	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/059/ERR14161359/ERR14161359_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_A_smgi.bam	P-MTAB-150507	V. Boehm	HFF_A_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_A_smgi	ERS22945691	SAMEA117610546	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_A_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_A_smgi	sequencing assay	ERX13563899		HFF_A_smgi_S42_R2_001.fastq.gz	HFF_A_smgi_S42_R2_001.fastq.gz	ERR14161359	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/059/ERR14161359/ERR14161359_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_A_smgi.bam	P-MTAB-150507	V. Boehm	HFF_A_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_A_smgi	ERS22945691	SAMEA117610546	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_A_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_A_smgi	sequencing assay	ERX13563899		HFF_A_smgi_S24_R1_001.fastq.gz	HFF_A_smgi_S24_R1_001.fastq.gz	ERR14161358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/058/ERR14161358/ERR14161358_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_A_smgi.bam	P-MTAB-150507	V. Boehm	HFF_A_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_B_smgi	ERS22945692	SAMEA117610547	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_B_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_B_smgi	sequencing assay	ERX13563900		HFF_B_smgi_S43_R2_001.fastq.gz	HFF_B_smgi_S43_R2_001.fastq.gz	ERR14161360	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/060/ERR14161360/ERR14161360_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_B_smgi.bam	P-MTAB-150507	V. Boehm	HFF_B_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_B_smgi	ERS22945692	SAMEA117610547	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_B_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_B_smgi	sequencing assay	ERX13563900		HFF_B_smgi_S25_R2_001.fastq.gz	HFF_B_smgi_S25_R2_001.fastq.gz	ERR14161361	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/061/ERR14161361/ERR14161361_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_B_smgi.bam	P-MTAB-150507	V. Boehm	HFF_B_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_B_smgi	ERS22945692	SAMEA117610547	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_B_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_B_smgi	sequencing assay	ERX13563900		HFF_B_smgi_S43_R1_001.fastq.gz	HFF_B_smgi_S43_R1_001.fastq.gz	ERR14161360	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/060/ERR14161360/ERR14161360_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_B_smgi.bam	P-MTAB-150507	V. Boehm	HFF_B_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_B_smgi	ERS22945692	SAMEA117610547	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_B_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_B_smgi	sequencing assay	ERX13563900		HFF_B_smgi_S25_R1_001.fastq.gz	HFF_B_smgi_S25_R1_001.fastq.gz	ERR14161361	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/061/ERR14161361/ERR14161361_2.fastq.gz	P-MTAB-150507	V. Boehm	HFF_B_smgi.bam	P-MTAB-150507	V. Boehm	HFF_B_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_C_smgi	ERS22945693	SAMEA117610548	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_C_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_C_smgi	sequencing assay	ERX13563901		HFF_C_smgi_S26_R2_001.fastq.gz	HFF_C_smgi_S26_R2_001.fastq.gz	ERR14161362	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/062/ERR14161362/ERR14161362_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_C_smgi.bam	P-MTAB-150507	V. Boehm	HFF_C_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
HFF_C_smgi	ERS22945693	SAMEA117610548	Homo sapiens	male	neonate	foreskin	normal	fibroblast	TERT-HFF	wild type genotype	cell	P-MTAB-150501	Paul O. Wulf	P-MTAB-150505	O. Benlasfer	P-MTAB-150506	Paul O. Wulf	P-MTAB-150502	Paul O. Wulf	P-MTAB-150503	AG Landthaler, MDC, Berlin	HFF_C_smgi	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-150504	AG Landthaler, MDC, Berlin	HFF_C_smgi	sequencing assay	ERX13563901		HFF_C_smgi_S44_R1_001.fastq.gz	HFF_C_smgi_S44_R1_001.fastq.gz	ERR14161363	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/063/ERR14161363/ERR14161363_1.fastq.gz	P-MTAB-150507	V. Boehm	HFF_C_smgi.bam	P-MTAB-150507	V. Boehm	HFF_C_smgi.bam.bai	SMG1i	1	micromolar	EFO	UO_0000064	24	hour	EFO	UO_0000032
