Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[disease]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[genetic modification]	Characteristics[replicate]	Characteristics[spike in]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Protocol REF	Performer	Derived Array Data File	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Factor Value[time]	Unit[time unit]
DX533_329730	ERS28356021	SAMEA120833795	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329730	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329730	sequencing assay	ERX15431364	DX533_329730_25R442-1_S65_L000_R2_001.fastq.gz	DX533_329730_25R442-1_S65_L000_R2_001.fastq.gz	ERR16040674	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/074/ERR16040674/ERR16040674_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329730.bam	P-MTAB-161410	V. Boehm	DX533_329730.bam.bai	wild type genotype	none				
DX533_329730	ERS28356021	SAMEA120833795	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329730	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329730	sequencing assay	ERX15431364	DX533_329730_25R442-1_S65_L000_R1_001.fastq.gz	DX533_329730_25R442-1_S65_L000_R1_001.fastq.gz	ERR16040674	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/074/ERR16040674/ERR16040674_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329730.bam	P-MTAB-161410	V. Boehm	DX533_329730.bam.bai	wild type genotype	none				
DX533_329731	ERS28356022	SAMEA120833796	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329731	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329731	sequencing assay	ERX15431365	DX533_329731_25R442-2_S66_L000_R2_001.fastq.gz	DX533_329731_25R442-2_S66_L000_R2_001.fastq.gz	ERR16040675	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/075/ERR16040675/ERR16040675_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329731.bam	P-MTAB-161410	V. Boehm	DX533_329731.bam.bai	wild type genotype	none				
DX533_329731	ERS28356022	SAMEA120833796	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329731	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329731	sequencing assay	ERX15431365	DX533_329731_25R442-2_S66_L000_R1_001.fastq.gz	DX533_329731_25R442-2_S66_L000_R1_001.fastq.gz	ERR16040675	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/075/ERR16040675/ERR16040675_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329731.bam	P-MTAB-161410	V. Boehm	DX533_329731.bam.bai	wild type genotype	none				
DX533_329732	ERS28356023	SAMEA120833797	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329732	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329732	sequencing assay	ERX15431366	DX533_329732_25R442-3_S67_L000_R1_001.fastq.gz	DX533_329732_25R442-3_S67_L000_R1_001.fastq.gz	ERR16040676	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/076/ERR16040676/ERR16040676_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329732.bam	P-MTAB-161410	V. Boehm	DX533_329732.bam.bai	wild type genotype	none				
DX533_329732	ERS28356023	SAMEA120833797	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	wild type genotype	none	3	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329732	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329732	sequencing assay	ERX15431366	DX533_329732_25R442-3_S67_L000_R2_001.fastq.gz	DX533_329732_25R442-3_S67_L000_R2_001.fastq.gz	ERR16040676	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/076/ERR16040676/ERR16040676_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329732.bam	P-MTAB-161410	V. Boehm	DX533_329732.bam.bai	wild type genotype	none				
DX533_329733	ERS28356024	SAMEA120833798	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329733	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329733	sequencing assay	ERX15431367	DX533_329733_25R442-4_S68_L000_R2_001.fastq.gz	DX533_329733_25R442-4_S68_L000_R2_001.fastq.gz	ERR16040677	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/077/ERR16040677/ERR16040677_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329733.bam	P-MTAB-161410	V. Boehm	DX533_329733.bam.bai	SMG8-KO-clone 4	none				
DX533_329733	ERS28356024	SAMEA120833798	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	1	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329733	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329733	sequencing assay	ERX15431367	DX533_329733_25R442-4_S68_L000_R1_001.fastq.gz	DX533_329733_25R442-4_S68_L000_R1_001.fastq.gz	ERR16040677	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/077/ERR16040677/ERR16040677_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329733.bam	P-MTAB-161410	V. Boehm	DX533_329733.bam.bai	SMG8-KO-clone 4	none				
DX533_329734	ERS28356025	SAMEA120833799	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329734	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329734	sequencing assay	ERX15431368	DX533_329734_25R442-5_S69_L000_R2_001.fastq.gz	DX533_329734_25R442-5_S69_L000_R2_001.fastq.gz	ERR16040678	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/078/ERR16040678/ERR16040678_1.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329734.bam	P-MTAB-161410	V. Boehm	DX533_329734.bam.bai	SMG8-KO-clone 4	none				
DX533_329734	ERS28356025	SAMEA120833799	Homo sapiens	Flp-In-T-REx-U2OS	female	juvenile stage	tibia	osteosarcoma	epithelial cell	SMG8-KO-clone 4	CRISPR/Cas9	2	ERCC	cell	P-MTAB-161404	S. Theunissen	P-MTAB-161408	S. Theunissen	P-MTAB-161409	S. Theunissen	P-MTAB-161405	S. Theunissen	P-MTAB-161406	Cologne Center for Genomics (CCG)	DX533_329734	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	P-MTAB-161407	Cologne Center for Genomics (CCG)	DX533_329734	sequencing assay	ERX15431368	DX533_329734_25R442-5_S69_L000_R1_001.fastq.gz	DX533_329734_25R442-5_S69_L000_R1_001.fastq.gz	ERR16040678	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/078/ERR16040678/ERR16040678_2.fastq.gz	P-MTAB-161410	V. Boehm	DX533_329734.bam	P-MTAB-161410	V. Boehm	DX533_329734.bam.bai	SMG8-KO-clone 4	none				
