Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[replicate]	Characteristics[sex]	Characteristics[spike in]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[genotype]	Factor Value[RNA interference]
Sample 1	ERS4811060	SAMEA7050430	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	1	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 1	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2231	212	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 1	sequencing assay	ERX4277493	control_S89_L002_R1_001.fastq.gz	control_S89_L002_R1_001.fastq.gz	ERR4330659	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/009/ERR4330659/ERR4330659_1.fastq.gz	wild type genotype	Luciferase siRNA
Sample 1	ERS4811060	SAMEA7050430	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	1	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 1	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2231	212	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 1	sequencing assay	ERX4277493	control_S89_L002_R2_001.fastq.gz	control_S89_L002_R2_001.fastq.gz	ERR4330659	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/009/ERR4330659/ERR4330659_2.fastq.gz	wild type genotype	Luciferase siRNA
Sample 2	ERS4811061	SAMEA7050431	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	2	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 2	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2173	205	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 2	sequencing assay	ERX4277494	control_S90_L002_R1_001.fastq.gz	control_S90_L002_R1_001.fastq.gz	ERR4330660	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/000/ERR4330660/ERR4330660_1.fastq.gz	wild type genotype	Luciferase siRNA
Sample 2	ERS4811061	SAMEA7050431	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	2	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 2	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2173	205	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 2	sequencing assay	ERX4277494	control_S90_L002_R2_001.fastq.gz	control_S90_L002_R2_001.fastq.gz	ERR4330660	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/000/ERR4330660/ERR4330660_2.fastq.gz	wild type genotype	Luciferase siRNA
Sample 3	ERS4811062	SAMEA7050432	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	3	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 3	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2207	199	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 3	sequencing assay	ERX4277495	control_S91_L002_R1_001.fastq.gz	control_S91_L002_R1_001.fastq.gz	ERR4330661	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/001/ERR4330661/ERR4330661_1.fastq.gz	wild type genotype	Luciferase siRNA
Sample 3	ERS4811062	SAMEA7050432	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	3	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 3	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2207	199	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 3	sequencing assay	ERX4277495	control_S91_L002_R2_001.fastq.gz	control_S91_L002_R2_001.fastq.gz	ERR4330661	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/001/ERR4330661/ERR4330661_2.fastq.gz	wild type genotype	Luciferase siRNA
Sample 4	ERS4811063	SAMEA7050433	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	1	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 4	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2169	192	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 4	sequencing assay	ERX4277496	SMG5_S92_L002_R1_001.fastq.gz	SMG5_S92_L002_R1_001.fastq.gz	ERR4330662	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/002/ERR4330662/ERR4330662_1.fastq.gz	wild type genotype	SMG5 knockdown by siRNA
Sample 4	ERS4811063	SAMEA7050433	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	1	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 4	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2169	192	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 4	sequencing assay	ERX4277496	SMG5_S92_L002_R2_001.fastq.gz	SMG5_S92_L002_R2_001.fastq.gz	ERR4330662	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/002/ERR4330662/ERR4330662_2.fastq.gz	wild type genotype	SMG5 knockdown by siRNA
Sample 5	ERS4811064	SAMEA7050434	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	2	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 5	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2252	204	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 5	sequencing assay	ERX4277497	SMG5_S93_L002_R1_001.fastq.gz	SMG5_S93_L002_R1_001.fastq.gz	ERR4330663	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/003/ERR4330663/ERR4330663_1.fastq.gz	wild type genotype	SMG5 knockdown by siRNA
Sample 5	ERS4811064	SAMEA7050434	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	2	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 5	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2252	204	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 5	sequencing assay	ERX4277497	SMG5_S93_L002_R2_001.fastq.gz	SMG5_S93_L002_R2_001.fastq.gz	ERR4330663	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/003/ERR4330663/ERR4330663_2.fastq.gz	wild type genotype	SMG5 knockdown by siRNA
Sample 6	ERS4811065	SAMEA7050435	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	3	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 6	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2149	198	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 6	sequencing assay	ERX4277498	SMG5_S94_L002_R1_001.fastq.gz	SMG5_S94_L002_R1_001.fastq.gz	ERR4330664	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/004/ERR4330664/ERR4330664_1.fastq.gz	wild type genotype	SMG5 knockdown by siRNA
Sample 6	ERS4811065	SAMEA7050435	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	wild type genotype	3	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 6	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2149	198	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 6	sequencing assay	ERX4277498	SMG5_S94_L002_R2_001.fastq.gz	SMG5_S94_L002_R2_001.fastq.gz	ERR4330664	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/004/ERR4330664/ERR4330664_2.fastq.gz	wild type genotype	SMG5 knockdown by siRNA
Sample 7	ERS4811066	SAMEA7050436	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	1	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 7	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2190	199	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 7	sequencing assay	ERX4277499	SMG7KO_2_S95_L002_R1_001.fastq.gz	SMG7KO_2_S95_L002_R1_001.fastq.gz	ERR4330665	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/005/ERR4330665/ERR4330665_1.fastq.gz	SMG7 knockout clone 2	Luciferase siRNA
Sample 7	ERS4811066	SAMEA7050436	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	1	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 7	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2190	199	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 7	sequencing assay	ERX4277499	SMG7KO_2_S95_L002_R2_001.fastq.gz	SMG7KO_2_S95_L002_R2_001.fastq.gz	ERR4330665	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/005/ERR4330665/ERR4330665_2.fastq.gz	SMG7 knockout clone 2	Luciferase siRNA
Sample 8	ERS4811067	SAMEA7050437	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	2	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 8	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2335	205	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 8	sequencing assay	ERX4277500	SMG7KO_2_S96_L002_R1_001.fastq.gz	SMG7KO_2_S96_L002_R1_001.fastq.gz	ERR4330666	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/006/ERR4330666/ERR4330666_1.fastq.gz	SMG7 knockout clone 2	Luciferase siRNA
Sample 8	ERS4811067	SAMEA7050437	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	2	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 8	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2335	205	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 8	sequencing assay	ERX4277500	SMG7KO_2_S96_L002_R2_001.fastq.gz	SMG7KO_2_S96_L002_R2_001.fastq.gz	ERR4330666	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/006/ERR4330666/ERR4330666_2.fastq.gz	SMG7 knockout clone 2	Luciferase siRNA
Sample 9	ERS4811068	SAMEA7050438	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	3	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 9	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2334	209	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 9	sequencing assay	ERX4277501	SMG7KO_2_S97_L002_R1_001.fastq.gz	SMG7KO_2_S97_L002_R1_001.fastq.gz	ERR4330667	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/007/ERR4330667/ERR4330667_1.fastq.gz	SMG7 knockout clone 2	Luciferase siRNA
Sample 9	ERS4811068	SAMEA7050438	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	3	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 9	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2334	209	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 9	sequencing assay	ERX4277501	SMG7KO_2_S97_L002_R2_001.fastq.gz	SMG7KO_2_S97_L002_R2_001.fastq.gz	ERR4330667	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/007/ERR4330667/ERR4330667_2.fastq.gz	SMG7 knockout clone 2	Luciferase siRNA
Sample 10	ERS4811069	SAMEA7050439	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	1	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 10	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2678	211	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 10	sequencing assay	ERX4277502	SMG7KO_2_SMG5KD_S98_L002_R1_001.fastq.gz	SMG7KO_2_SMG5KD_S98_L002_R1_001.fastq.gz	ERR4330668	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/008/ERR4330668/ERR4330668_1.fastq.gz	SMG7 knockout clone 2	SMG5 knockdown by siRNA
Sample 10	ERS4811069	SAMEA7050439	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	1	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 10	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2678	211	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 10	sequencing assay	ERX4277502	SMG7KO_2_SMG5KD_S98_L002_R2_001.fastq.gz	SMG7KO_2_SMG5KD_S98_L002_R2_001.fastq.gz	ERR4330668	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/008/ERR4330668/ERR4330668_2.fastq.gz	SMG7 knockout clone 2	SMG5 knockdown by siRNA
Sample 11	ERS4811070	SAMEA7050440	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	2	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 11	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2711	213	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 11	sequencing assay	ERX4277503	SMG7KO_2_SMG5KD_S99_L002_R1_001.fastq.gz	SMG7KO_2_SMG5KD_S99_L002_R1_001.fastq.gz	ERR4330669	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/009/ERR4330669/ERR4330669_1.fastq.gz	SMG7 knockout clone 2	SMG5 knockdown by siRNA
Sample 11	ERS4811070	SAMEA7050440	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	2	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 11	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2711	213	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 11	sequencing assay	ERX4277503	SMG7KO_2_SMG5KD_S99_L002_R2_001.fastq.gz	SMG7KO_2_SMG5KD_S99_L002_R2_001.fastq.gz	ERR4330669	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/009/ERR4330669/ERR4330669_2.fastq.gz	SMG7 knockout clone 2	SMG5 knockdown by siRNA
Sample 12	ERS4811071	SAMEA7050441	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	3	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 12	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2642	202	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 12	sequencing assay	ERX4277504	SMG7KO_2_SMG5KD_S100_L002_R1_001.fastq.gz	SMG7KO_2_SMG5KD_S100_L002_R1_001.fastq.gz	ERR4330670	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/000/ERR4330670/ERR4330670_1.fastq.gz	SMG7 knockout clone 2	SMG5 knockdown by siRNA
