Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sirna,source_name,SRA Study
SRR6467827,RNA-Seq,100,3615911600,PRJNA429768,SAMN08359241,2309590566,HEK-293,GEO,public,"sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX3557758,GSM2933033,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T13:47:00Z,1,GSM2933033,treated with non-specific (NS) siRNA,HEK-293TO cells,SRP129007
SRR6467828,RNA-Seq,100,2932607300,PRJNA429768,SAMN08359240,1867244492,HEK-293,GEO,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX3557759,GSM2933034,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T13:58:00Z,1,GSM2933034,treated with non-specific (NS) siRNA,HEK-293TO cells,SRP129007
SRR6467829,RNA-Seq,100,3633835400,PRJNA429768,SAMN08359239,2338365305,HEK-293,GEO,public,"run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX3557760,GSM2933035,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T14:07:00Z,1,GSM2933035,treated with non-specific (NS) siRNA,HEK-293TO cells,SRP129007
SRR6467830,RNA-Seq,100,3688579300,PRJNA429768,SAMN08359238,2361098227,HEK-293,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX3557761,GSM2933036,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T12:20:00Z,1,GSM2933036,treated with hnRNP L siRNA,HEK-293TO cells,SRP129007
SRR6467831,RNA-Seq,100,4288273000,PRJNA429768,SAMN08359237,2736205609,HEK-293,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX3557762,GSM2933037,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T12:18:00Z,1,GSM2933037,treated with hnRNP L siRNA,HEK-293TO cells,SRP129007
SRR6467832,RNA-Seq,100,2917596100,PRJNA429768,SAMN08359236,1870485974,HEK-293,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX3557763,GSM2933038,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T12:18:00Z,1,GSM2933038,treated with hnRNP L siRNA,HEK-293TO cells,SRP129007
SRR6467833,RNA-Seq,100,3626703100,PRJNA429768,SAMN08359235,2329071930,HEK-293,GEO,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX3557764,GSM2933039,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T13:51:00Z,1,GSM2933039,treated with UPF1 siRNA,HEK-293TO cells,SRP129007
SRR6467834,RNA-Seq,100,3381134500,PRJNA429768,SAMN08359234,2136140408,HEK-293,GEO,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX3557765,GSM2933040,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T13:51:00Z,1,GSM2933040,treated with UPF1 siRNA,HEK-293TO cells,SRP129007
SRR6467835,RNA-Seq,100,3725454100,PRJNA429768,SAMN08359233,2387856575,HEK-293,GEO,public,"sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX3557766,GSM2933041,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T13:53:00Z,1,GSM2933041,treated with UPF1 siRNA,HEK-293TO cells,SRP129007
SRR6467836,RNA-Seq,95,4081308100,PRJNA429768,SAMN08359232,2516791869,HEK-293,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX3557767,GSM2933042,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-16T15:37:00Z,1,GSM2933042,treated with hnRNP L and UPF1 siRNAs,HEK-293TO cells,SRP129007
SRR6467837,RNA-Seq,100,4021928100,PRJNA429768,SAMN08359231,2541774062,HEK-293,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX3557768,GSM2933043,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-01-12T12:18:00Z,1,GSM2933043,treated with hnRNP L and UPF1 siRNAs,HEK-293TO cells,SRP129007
