Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,molecule_subtype
SRR9662131,RIP-Seq,150,8428331400,PRJNA553576,SAMN12239734,3310463104,HEK-293 Trex cells,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX6423006,Expressing CLIP-UPF1_isoform_1,GSM3935778,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:05:00Z,1,GSM3935778,HEK-293 Trex_UPF1_isoform_1_total,SRP213944,
SRR9662132,RIP-Seq,150,8634000000,PRJNA553576,SAMN12239733,3504246973,HEK-293 Trex cells,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX6423007,Expressing CLIP-UPF1_isoform_1,GSM3935779,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:04:00Z,1,GSM3935779,HEK-293 Trex_UPF1_isoform_1_total,SRP213944,
SRR9662133,RIP-Seq,150,9587702700,PRJNA553576,SAMN12239729,3934704809,HEK-293 Trex cells,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX6423008,Expressing CLIP-UPF1_isoform_1,GSM3935780,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:11:00Z,1,GSM3935780,HEK-293 Trex_UPF1_isoform_1_total,SRP213944,
SRR9662134,RIP-Seq,150,10631464350,PRJNA553576,SAMN12239725,4161187543,HEK-293 Trex cells,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX6423009,Expressing CLIP-UPF1_isoform_2,GSM3935781,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:14:00Z,1,GSM3935781,HEK-293 Trex_UPF1_isoform_2_total,SRP213944,
SRR9662135,RIP-Seq,150,9477673800,PRJNA553576,SAMN12239724,3815889469,HEK-293 Trex cells,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX6423010,Expressing CLIP-UPF1_isoform_2,GSM3935782,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:09:00Z,1,GSM3935782,HEK-293 Trex_UPF1_isoform_2_total,SRP213944,
SRR9662136,RIP-Seq,150,9887975550,PRJNA553576,SAMN12239719,4038266818,HEK-293 Trex cells,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX6423011,Expressing CLIP-UPF1_isoform_2,GSM3935783,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:11:00Z,1,GSM3935783,HEK-293 Trex_UPF1_isoform_2_total,SRP213944,
SRR9662137,RIP-Seq,150,11291869650,PRJNA553576,SAMN12239794,4425680947,HEK-293 Trex cells,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX6423012,Expressing GFP,GSM3935784,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:14:00Z,1,GSM3935784,HEK-293 Trex_GFP_total,SRP213944,
SRR9662138,RIP-Seq,150,10441740300,PRJNA553576,SAMN12239790,4237797096,HEK-293 Trex cells,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX6423013,Expressing GFP,GSM3935785,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:11:00Z,1,GSM3935785,HEK-293 Trex_GFP_total,SRP213944,
SRR9662139,RIP-Seq,150,11037363450,PRJNA553576,SAMN12239789,4512336161,HEK-293 Trex cells,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX6423014,Expressing GFP,GSM3935786,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:15:00Z,1,GSM3935786,HEK-293 Trex_GFP_total,SRP213944,
SRR9662140,RIP-Seq,150,9328759650,PRJNA553576,SAMN12239788,3625855237,HEK-293 Trex cells,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX6423015,Expressing CLIP-UPF1_isoform_1,GSM3935787,Illumina HiSeq 3000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-05-28T00:00:00Z,2019-07-09T20:08:00Z,1,GSM3935787,HEK-293 Trex_UPF1_isoform_1_RIP-seq,SRP213944,Affinity-purified RNA
