Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,knockdown,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR12010285,RNA-Seq,200,20372576400,PRJNA639358,SAMN15233265,5905566665,HeLa,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX8543013,GSM4615575,Illumina NovaSeq 6000,siScr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T14:52:00Z,1,GSM4615575,HeLa cells,SRP267244
SRR12010286,RNA-Seq,200,19958677400,PRJNA639358,SAMN15233298,5919609637,HeLa,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8543014,GSM4615576,Illumina NovaSeq 6000,siScr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T14:55:00Z,1,GSM4615576,HeLa cells,SRP267244
SRR12010287,RNA-Seq,200,20460319200,PRJNA639358,SAMN15233297,6060275337,HeLa,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX8543015,GSM4615577,Illumina NovaSeq 6000,siScr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T14:50:00Z,1,GSM4615577,HeLa cells,SRP267244
SRR12010288,RNA-Seq,200,19837059800,PRJNA639358,SAMN15233296,5813533880,HeLa,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX8543016,GSM4615578,Illumina NovaSeq 6000,siScr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T14:51:00Z,1,GSM4615578,HeLa cells,SRP267244
SRR12010289,RNA-Seq,200,24285578400,PRJNA639358,SAMN15233295,7164818339,HeLa,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX8543017,GSM4615579,Illumina NovaSeq 6000,siScr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T15:15:00Z,1,GSM4615579,HeLa cells,SRP267244
SRR12010290,RNA-Seq,200,19292714400,PRJNA639358,SAMN15233294,5736019767,HeLa,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8543018,GSM4615580,Illumina NovaSeq 6000,siUPF1,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T15:02:00Z,1,GSM4615580,HeLa cells,SRP267244
SRR12010291,RNA-Seq,200,20036144400,PRJNA639358,SAMN15233293,5941797702,HeLa,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX8543019,GSM4615581,Illumina NovaSeq 6000,siUPF2,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T15:00:00Z,1,GSM4615581,HeLa cells,SRP267244
SRR12010292,RNA-Seq,200,18504136600,PRJNA639358,SAMN15233292,5496382942,HeLa,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8543020,GSM4615582,Illumina NovaSeq 6000,siUPF3,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T14:56:00Z,1,GSM4615582,HeLa cells,SRP267244
SRR12010293,RNA-Seq,200,23144674800,PRJNA639358,SAMN15233291,6770386598,HeLa,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8543021,GSM4615583,Illumina NovaSeq 6000,siUPF4,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T15:12:00Z,1,GSM4615583,HeLa cells,SRP267244
SRR12010294,RNA-Seq,200,22617338200,PRJNA639358,SAMN15233290,6612239959,HeLa,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX8543022,GSM4615584,Illumina NovaSeq 6000,siUPF5,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T14:59:00Z,1,GSM4615584,HeLa cells,SRP267244
SRR12010295,RNA-Seq,200,21128322800,PRJNA639358,SAMN15233289,6204825978,HeLa,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8543023,GSM4615585,Illumina NovaSeq 6000,siNBAS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,2020-06-14T14:50:00Z,1,GSM4615585,HeLa cells,SRP267244
