Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,knockdown,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,rna_fraction,create_date,version,Sample Name,source_name,SRA Study
SRR12010300,RNA-Seq,300,21182753700,PRJNA639359,SAMN15233284,6654052838,HeLa,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX8543028,GSM4615590,Illumina HiSeq 2000,si-scr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,cytoplasm,2020-06-14T15:05:00Z,1,GSM4615590,HeLa cells,SRP267245
SRR12010301,RNA-Seq,300,18069192300,PRJNA639359,SAMN15233283,5528282147,HeLa,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8543029,GSM4615591,Illumina HiSeq 2000,si-scr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,cytoplasm,2020-06-14T14:46:00Z,1,GSM4615591,HeLa cells,SRP267245
SRR12010302,RNA-Seq,300,19593472200,PRJNA639359,SAMN15233282,6092249157,HeLa,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX8543030,GSM4615592,Illumina HiSeq 2000,si-scr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,cytoplasm,2020-06-14T14:50:00Z,1,GSM4615592,HeLa cells,SRP267245
SRR12010303,RNA-Seq,300,24259015200,PRJNA639359,SAMN15233281,7467402983,HeLa,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX8543031,GSM4615593,Illumina HiSeq 2000,si-scr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,membrane,2020-06-14T15:53:00Z,1,GSM4615593,HeLa cells,SRP267245
SRR12010304,RNA-Seq,300,21907214700,PRJNA639359,SAMN15233280,6755317485,HeLa,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX8543032,GSM4615594,Illumina HiSeq 2000,si-scr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,membrane,2020-06-14T15:00:00Z,1,GSM4615594,HeLa cells,SRP267245
SRR12010305,RNA-Seq,300,19300512600,PRJNA639359,SAMN15233279,6170795969,HeLa,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8543033,GSM4615595,Illumina HiSeq 2000,si-scr control,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,membrane,2020-06-14T15:08:00Z,1,GSM4615595,HeLa cells,SRP267245
SRR12010306,RNA-Seq,300,23283237900,PRJNA639359,SAMN15233278,7185551061,HeLa,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX8543034,GSM4615596,Illumina HiSeq 2000,si-UPF1,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,cytoplasm,2020-06-14T15:04:00Z,1,GSM4615596,HeLa cells,SRP267245
SRR12010307,RNA-Seq,300,21267979800,PRJNA639359,SAMN15233277,6530431815,HeLa,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX8543035,GSM4615597,Illumina HiSeq 2000,si-UPF1,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,cytoplasm,2020-06-14T14:57:00Z,1,GSM4615597,HeLa cells,SRP267245
SRR12010308,RNA-Seq,300,15521011800,PRJNA639359,SAMN15233276,4877989349,HeLa,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX8543036,GSM4615598,Illumina HiSeq 2000,si-UPF1,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,cytoplasm,2020-06-14T14:43:00Z,1,GSM4615598,HeLa cells,SRP267245
SRR12010309,RNA-Seq,300,21303050400,PRJNA639359,SAMN15233303,6544686239,HeLa,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX8543037,GSM4615599,Illumina HiSeq 2000,si-UPF1,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-15T00:00:00Z,membrane,2020-06-14T15:20:00Z,1,GSM4615599,HeLa cells,SRP267245
