Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sirna,source_name,SRA Study,treatment,agent
SRR13200283,RNA-Seq,100,4931528500,PRJNA682628,SAMN17004493,1403975997,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9633818,GSM4957526,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T17:03:00Z,1,GSM4957526,non-targeting siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200284,RNA-Seq,100,3452193400,PRJNA682628,SAMN17004492,988959401,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9633819,GSM4957527,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:52:00Z,1,GSM4957527,non-targeting siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200285,RNA-Seq,100,3578044200,PRJNA682628,SAMN17004487,1021633180,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9633820,GSM4957528,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:55:00Z,1,GSM4957528,non-targeting siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200286,RNA-Seq,100,3357438500,PRJNA682628,SAMN17004486,954311138,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9633821,GSM4957529,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:54:00Z,1,GSM4957529,non-targeting siRNA,HEK-293 cells,SRP295982,100 µg/ml puromycin,
SRR13200287,RNA-Seq,100,3587534400,PRJNA682628,SAMN17004485,1020811320,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9633822,GSM4957530,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:57:00Z,1,GSM4957530,non-targeting siRNA,HEK-293 cells,SRP295982,100 µg/ml puromycin,
SRR13200288,RNA-Seq,100,2578279000,PRJNA682628,SAMN17004484,747004125,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9633823,GSM4957531,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:52:00Z,1,GSM4957531,non-targeting siRNA,HEK-293 cells,SRP295982,100 µg/ml puromycin,
SRR13200289,RNA-Seq,100,2414117400,PRJNA682628,SAMN17004491,693210890,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9633824,GSM4957532,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:51:00Z,1,GSM4957532,non-targeting siRNA,HEK-293 cells,SRP295982,25 µg/ml puromycin,
SRR13200290,RNA-Seq,100,2391303900,PRJNA682628,SAMN17004490,691364164,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9633825,GSM4957533,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:51:00Z,1,GSM4957533,non-targeting siRNA,HEK-293 cells,SRP295982,25 µg/ml puromycin,
SRR13200291,RNA-Seq,100,3610149100,PRJNA682628,SAMN17004489,1029881601,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9633826,GSM4957534,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:58:00Z,1,GSM4957534,non-targeting siRNA,HEK-293 cells,SRP295982,25 µg/ml puromycin,
SRR13200292,RNA-Seq,100,2838848400,PRJNA682628,SAMN17004488,815054945,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9633827,GSM4957535,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:53:00Z,1,GSM4957535,non-targeting siRNA,HEK-293 cells,SRP295982,50 µg/ml puromycin,
SRR13200293,RNA-Seq,100,2085589900,PRJNA682628,SAMN17004483,605922833,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9633828,GSM4957536,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:52:00Z,1,GSM4957536,non-targeting siRNA,HEK-293 cells,SRP295982,50 µg/ml puromycin,
SRR13200294,RNA-Seq,100,1964146600,PRJNA682628,SAMN17004482,569266516,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9633829,GSM4957537,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:51:00Z,1,GSM4957537,non-targeting siRNA,HEK-293 cells,SRP295982,50 µg/ml puromycin,
SRR13200295,RNA-Seq,100,2242977400,PRJNA682628,SAMN17004481,639699418,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9633830,GSM4957538,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:53:00Z,1,GSM4957538,non-targeting siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200296,RNA-Seq,100,2409833100,PRJNA682628,SAMN17004480,687312592,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9633831,GSM4957539,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:53:00Z,1,GSM4957539,non-targeting siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200297,RNA-Seq,100,3168049600,PRJNA682628,SAMN17004479,901368372,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9633832,GSM4957540,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:55:00Z,1,GSM4957540,non-targeting siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200298,RNA-Seq,100,2177577200,PRJNA682628,SAMN17004478,620937974,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9633833,GSM4957541,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:54:00Z,1,GSM4957541,non-targeting siRNA,HEK-293 cells,SRP295982,1 µM thapsigargin,
SRR13200299,RNA-Seq,100,2122125700,PRJNA682628,SAMN17004477,608954160,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9633834,GSM4957542,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:52:00Z,1,GSM4957542,non-targeting siRNA,HEK-293 cells,SRP295982,1 µM thapsigargin,
SRR13200300,RNA-Seq,100,2395541400,PRJNA682628,SAMN17004476,689830684,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9633835,GSM4957543,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:56:00Z,1,GSM4957543,non-targeting siRNA,HEK-293 cells,SRP295982,1 µM thapsigargin,
