Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR24518056,RNA-Seq,100,4445458374,PRJNA971629,SAMN35052453,1618909295,HT1080_SMG7KO_12,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20302364,SMG7KO,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328777,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T22:05:00Z,1,GSM7328777,HT1080_SMG7KO_12,SRP437288
SRR24518057,RNA-Seq,100,3562189657,PRJNA971629,SAMN35052454,1297949634,HT1080_SMG7KO_12,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX20302363,SMG7KO,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328776,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T22:03:00Z,1,GSM7328776,HT1080_SMG7KO_12,SRP437288
SRR24518058,RNA-Seq,100,4259471029,PRJNA971629,SAMN35052455,1550369105,HT1080_SMG7KO_12,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX20302362,SMG7KO,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328775,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T22:07:00Z,1,GSM7328775,HT1080_SMG7KO_12,SRP437288
SRR24518059,RNA-Seq,100,4251489230,PRJNA971629,SAMN35052456,1546234160,HT1080_SMG7KO_11,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20302361,SMG7KO,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328774,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T22:09:00Z,1,GSM7328774,HT1080_SMG7KO_11,SRP437288
SRR24518060,RNA-Seq,100,4408854049,PRJNA971629,SAMN35052457,1607286846,HT1080_SMG7KO_11,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20302360,SMG7KO,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328773,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T22:08:00Z,1,GSM7328773,HT1080_SMG7KO_11,SRP437288
SRR24518061,RNA-Seq,100,5381843981,PRJNA971629,SAMN35052458,1954300537,HT1080_SMG7KO_11,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20302359,SMG7KO,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328772,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T22:16:00Z,1,GSM7328772,HT1080_SMG7KO_11,SRP437288
SRR24518062,RNA-Seq,100,4292893705,PRJNA971629,SAMN35052459,1568414895,HT1080,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20302358,WT,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328771,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T22:07:00Z,1,GSM7328771,HT1080,SRP437288
SRR24518063,RNA-Seq,100,4400055637,PRJNA971629,SAMN35052460,1601578532,HT1080,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20302357,WT,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328770,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T23:00:00Z,1,GSM7328770,HT1080,SRP437288
SRR24518064,RNA-Seq,100,4335851992,PRJNA971629,SAMN35052461,1585476393,HT1080,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20302356,WT,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328769,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T22:08:00Z,1,GSM7328769,HT1080,SRP437288
SRR24518065,RNA-Seq,100,4501319584,PRJNA971629,SAMN35052462,1623036434,HT1080_SMG7KO_12,fibrosarcoma,"MÜHLEMANN LAB, CHEMISTRY, BIOCHEMISTRY AND PHARMACEUTICAL SCIENCES, UNIVERSITY OF BERN",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20302355,SMG7KO,uncalculated,uncalculated,missing,Illumina HiSeq 3000,GSM7328768,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-06T00:00:00Z,2023-05-11T22:08:00Z,1,GSM7328768,HT1080_SMG7KO_12,SRP437288
