Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR32268558,RNA-Seq,300,20297825100,PRJNA1220709,SAMN46723387,6206489968,A512,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX27605773,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782639,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:36:00Z,1,GSM8782639,Kidney,SRP562264,Kidney,PladB
SRR32268559,RNA-Seq,300,15736393200,PRJNA1220709,SAMN46723388,4825893218,A511,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX27605772,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782638,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:39:00Z,1,GSM8782638,Kidney,SRP562264,Kidney,PladB
SRR32268560,RNA-Seq,300,15223292400,PRJNA1220709,SAMN46723389,4618750464,A510,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX27605771,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782637,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:34:00Z,1,GSM8782637,Kidney,SRP562264,Kidney,PladB
SRR32268561,RNA-Seq,300,15120491400,PRJNA1220709,SAMN46723390,4581641503,A509,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX27605770,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782636,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:34:00Z,1,GSM8782636,Kidney,SRP562264,Kidney,Torin2
SRR32268562,RNA-Seq,300,15278243700,PRJNA1220709,SAMN46723391,4686684368,A508,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX27605769,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782635,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:34:00Z,1,GSM8782635,Kidney,SRP562264,Kidney,Torin2
SRR32268563,RNA-Seq,300,15899184600,PRJNA1220709,SAMN46723392,4814642347,A507,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX27605768,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782634,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:34:00Z,1,GSM8782634,Kidney,SRP562264,Kidney,Torin2
SRR32268564,RNA-Seq,300,16097025900,PRJNA1220709,SAMN46723393,4864782302,A506,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX27605767,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782633,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:34:00Z,1,GSM8782633,Kidney,SRP562264,Kidney,SMG1inh
SRR32268565,RNA-Seq,300,19670326800,PRJNA1220709,SAMN46723394,5956636916,A505,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX27605766,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782632,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:36:00Z,1,GSM8782632,Kidney,SRP562264,Kidney,SMG1inh
SRR32268566,RNA-Seq,300,17049969300,PRJNA1220709,SAMN46723395,5130459090,A504,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX27605765,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782631,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:35:00Z,1,GSM8782631,Kidney,SRP562264,Kidney,SMG1inh
SRR32268567,RNA-Seq,300,15661387800,PRJNA1220709,SAMN46723396,4737946019,A503,"DOMINGUEZ LAB, GENETICS, UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX27605764,WT,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM8782630,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-05-08T00:00:00Z,2025-02-07T15:34:00Z,1,GSM8782630,Kidney,SRP562264,Kidney,Sapanisertib
