Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,genotype
SRR35044760,RNA-Seq,300,8960635800,PRJNA1307433,SAMN50689607,2823883995,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX30159977,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181636,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:02:00Z,1,GSM9181636,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,UPF1 knockdown (UPF1-KD)
SRR35044761,RNA-Seq,300,9122711400,PRJNA1307433,SAMN50689608,2890944657,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX30159976,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181635,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:02:00Z,1,GSM9181635,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,NC
SRR35044762,RNA-Seq,300,7611999900,PRJNA1307433,SAMN50689609,2507103180,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX30159975,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181634,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:03:00Z,1,GSM9181634,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,UPF1 overexpressing HK1 cells
SRR35044763,RNA-Seq,300,6219715200,PRJNA1307433,SAMN50689610,1989883798,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX30159974,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181633,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:01:00Z,1,GSM9181633,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,UPF1 overexpressing HK1 cells
SRR35044764,RNA-Seq,300,7048710600,PRJNA1307433,SAMN50689611,2266770661,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX30159973,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181632,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:01:00Z,1,GSM9181632,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,UPF1 overexpressing HK1 cells
SRR35044765,RNA-Seq,300,6846909600,PRJNA1307433,SAMN50689612,2222218284,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX30159972,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181631,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:01:00Z,1,GSM9181631,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,NC
SRR35044766,RNA-Seq,300,6780287700,PRJNA1307433,SAMN50689613,2192341936,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX30159971,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181630,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:01:00Z,1,GSM9181630,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,NC
SRR35044767,RNA-Seq,300,7054846200,PRJNA1307433,SAMN50689614,2287075506,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30159970,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181629,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:01:00Z,1,GSM9181629,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,NC
SRR35044756,RNA-Seq,300,9221744700,PRJNA1307433,SAMN50689603,2868727949,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX30159981,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181640,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:01:00Z,1,GSM9181640,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,
SRR35044757,RNA-Seq,300,7580972700,PRJNA1307433,SAMN50689604,2369088220,HK-1,nasopharyngeal carcinoma cell,SUN YAT-SEN UNIVERSITY CANCER CENTER,missing,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX30159980,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9181639,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-10-31T00:00:00Z,2025-08-20T04:01:00Z,1,GSM9181639,nasopharyngeal carcinoma,SRP610054,nasopharyngeal carcinoma,
