Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,transient_transfection,library_strategy,stably_transfected_reporter
SRR1574720,OTHER,40,3516045880,PRJNA260967,SAMN03067826,2424598191,HeLa,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX700544,GSM1503892,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:23:00Z,1,GSM1503892,HeLa+TCRß68,SRP047097,siGL2 and siXRN1,PARE,TCRß68
SRR1574721,OTHER,40,4036786680,PRJNA260967,SAMN03067827,2809258970,HeLa,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX700545,GSM1503893,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:25:00Z,1,GSM1503893,HeLa+TCRß68,SRP047097,siSMG6 and siXRN1,PARE,TCRß68
SRR1574722,OTHER,40,3702966160,PRJNA260967,SAMN03067828,2436506554,HeLa,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX700546,GSM1503894,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:24:00Z,1,GSM1503894,HeLa+TCRß68,SRP047097,siUPF1 and siXRN1,PARE,TCRß68
SRR1574723,OTHER,36,1057124844,PRJNA260967,SAMN03067829,781780283,HeLa,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX700547,GSM1503895,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:15:00Z,1,GSM1503895,HeLa+TCRß68,SRP047097,siGL2 and siXRN1,C-PARE,TCRß68
SRR1574732,RNA-Seq,50,1267886400,PRJNA260967,SAMN03067838,959764106,HeLa,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX700556,GSM1503904,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:15:00Z,1,GSM1503904,HeLa+TCRß68,SRP047097,siGL2 and siXRN1,,TCRß68
SRR1574733,RNA-Seq,50,961540450,PRJNA260967,SAMN03067839,726688671,HeLa,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX700557,GSM1503905,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:14:00Z,1,GSM1503905,HeLa+TCRß68,SRP047097,siSMG6 and siXRN1,,TCRß68
SRR1574734,RNA-Seq,50,1627527350,PRJNA260967,SAMN03067840,1227928224,HeLa,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX700558,GSM1503906,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:17:00Z,1,GSM1503906,HeLa+TCRß68,SRP047097,siUPF1 and siXRN1,,TCRß68
SRR1574735,RNA-Seq,50,1649568100,PRJNA260967,SAMN03067841,1300740465,HeLa,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX700559,GSM1503907,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:17:00Z,1,GSM1503907,HeLa+TCRß68,SRP047097,siGL2 and siXRN1,,TCRß68
SRR1574736,RNA-Seq,50,997713250,PRJNA260967,SAMN03067842,784595761,HeLa,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX700560,GSM1503908,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:15:00Z,1,GSM1503908,HeLa+TCRß68,SRP047097,siSMG6 and siXRN1,,TCRß68
SRR1574741,OTHER,51,178073742,PRJNA260967,SAMN03067847,119087534,HeLa,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX700565,GSM1503913,Illumina HiSeq 2500,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-03T00:00:00Z,2014-09-13T14:11:00Z,1,GSM1503913,HeLa,SRP047097,TCRß68U_Fav3,SPARE,
